"sku","sales_channel","amount"
"BA_TTA_TCSTSR","linenthings","19.9900"
"BA_TTA_TCSVSR","purelinen","9.0000"
"BA_TTA_TCSVSR","linenthings","19.9900"
"BA_TTA_TCSVSS","purelinen","9.0000"
"BA_TTA_TCSVSS","linenthings","19.9900"
"BA_TTA_TCSWR","purelinen","9.0000"
"BA_TTA_TCSWR","linenthings","19.9900"
"BA_TTA_TCSWS","purelinen","9.0000"
"BA_TTA_TCSWS","linenthings","19.9900"
"BA_TTA_TCSWSR","purelinen","9.0000"
"BA_TTA_TCSWSR","linenthings","19.9900"
"BA_TTA_TCSWSS","purelinen","9.0000"
"BA_TTA_TCSWSS","linenthings","19.9900"
"BA_TTA_TSNR","purelinen","35.0000"
"BA_TTA_TSNR","linenthings","79.9900"
"BA_TTA_TSSNR","purelinen","35.0000"
"BA_TTA_TSSNR","linenthings","79.9900"
"BA_W_WTW50x70","purelinen","18.0000"
"BA_W_WTW50x70","linenthings","39.9900"
"BL_A","purelinen",NULL
"BL_A","linenthings",NULL
"BL_ALX_DCAS","purelinen","299.0000"
"BL_ALX_DCAS","linenthings","659.9900"
"BL_ALX_PCA42x63","purelinen","50.0000"
"BL_ALX_PCA42x63","linenthings","109.9900"
"BL_ALX_PCA48x73","purelinen","55.0000"
"BL_ALX_PCA48x73","linenthings","124.9900"
"BL_ALX_PCA63x63","purelinen","60.0000"
"BL_ALX_PCA63x63","linenthings","134.9900"
"BL_ALX_PCA65x65","purelinen","65.0000"
"BL_ALX_PCA65x65","linenthings","144.9900"
"BL_ALX_TSA","purelinen","80.0000"
"BL_ALX_TSA","linenthings","80.0000"
"BL_ALX_TSAS","purelinen","110.0000"
"BL_ALX_TSAS","linenthings","110.0000"
"BL_ARC","purelinen",NULL
"BL_ARC","linenthings",NULL
"BL_ARCS","purelinen",NULL
"BL_ARCS","linenthings",NULL
"BL_ARCS_DABQ","purelinen","480.0000"
"BL_ARCS_DABQ","linenthings","960.0000"
"BL_ARCS_DLGK","purelinen","480.0000"
"BL_ARCS_DLGK","linenthings","960.0000"
"BL_ARCS_DLQ","purelinen","480.0000"
"BL_ARCS_DLQ","linenthings","960.0000"
"BL_ARCS_DSQ","purelinen","480.0000"
"BL_ARCS_DSQ","linenthings","960.0000"
"BL_ARCS_DTK","purelinen","480.0000"
"BL_ARCS_DTK","linenthings","960.0000"
"BL_ARCS_DTQ","purelinen","480.0000"
"BL_ARCS_DTQ","linenthings","960.0000"
"BL_ARCS_FLGK","purelinen","240.0000"
"BL_ARCS_FLGK","linenthings","480.0000"
"BL_ARCS_FLGQ","purelinen","230.0000"
"BL_ARCS_FLGQ","linenthings","460.0000"
"BL_ARCS_FSLGK","purelinen","190.0000"
"BL_ARCS_FSLGK","linenthings","420.0000"
"BL_ARCS_FSTBQ","purelinen","180.0000"
"BL_ARCS_FSTBQ","linenthings","400.0000"
"BL_ARCS_FSTFK","purelinen","190.0000"
"BL_ARCS_FSTFK","linenthings","420.0000"
"BL_ARCS_FTBK","purelinen","240.0000"
"BL_ARCS_FTBK","linenthings","480.0000"
"BL_ARCS_FTBQ","purelinen","230.0000"
"BL_ARCS_FTBQ","linenthings","460.0000"
"BL_ARCS_PCDE65","purelinen","55.0000"
"BL_ARCS_PCDE65","linenthings","160.0000"
"BL_ARCS_PCLG48","purelinen","50.0000"
"BL_ARCS_PCLG48","linenthings","160.0000"
"BL_ARCS_PCLG65","purelinen","55.0000"
"BL_ARCS_PCLG65","linenthings","160.0000"
"BL_ARCS_PCTB48","purelinen","50.0000"
"BL_ARCS_PCTB48","linenthings","160.0000"
"BL_ARCS_PCTF65","purelinen","55.0000"
"BL_ARCS_PCTF65","linenthings","160.0000"
"BL_ARCS_TSLGQ","purelinen","180.0000"
"BL_ARCS_TSLGQ","linenthings","400.0000"
"BL_ARC_DCABK","purelinen","480.0000"
"BL_ARC_DCABK","linenthings","960.0000"
"BL_ARC_DCNK","purelinen","480.0000"
"BL_ARC_DCNK","linenthings","960.0000"
"BL_ARC_DCNQ","purelinen","480.0000"
"BL_ARC_DCNQ","linenthings","960.0000"
"BL_ARC_DCSK","purelinen","480.0000"
"BL_ARC_DCSK","linenthings","960.0000"
"BL_ARC_FSABK","purelinen","190.0000"
"BL_ARC_FSABK","linenthings","420.0000"
"BL_ARC_FSABQ","purelinen","180.0000"
"BL_ARC_FSABQ","linenthings","400.0000"
"BL_ARC_FSASK","purelinen","190.0000"
"BL_ARC_FSASK","linenthings","420.0000"
"BL_ARC_FSASQ","purelinen","180.0000"
"BL_ARC_FSASQ","linenthings","400.0000"
"BL_ARC_FSBK","purelinen","240.0000"
"BL_ARC_FSBK","linenthings","480.0000"
"BL_ARC_FSBQ","purelinen","230.0000"
"BL_ARC_FSBQ","linenthings","460.0000"
"BL_ARC_FSFNK","purelinen","190.0000"
"BL_ARC_FSFNK","linenthings","420.0000"
"BL_ARC_FSFNQ","purelinen","180.0000"
"BL_ARC_FSFNQ","linenthings","400.0000"
"BL_ARC_FSNK","purelinen","240.0000"
"BL_ARC_FSNK","linenthings","480.0000"
"BL_ARC_FSSK","purelinen","240.0000"
"BL_ARC_FSSK","linenthings","480.0000"
"BL_ARC_FSSQ","purelinen","230.0000"
"BL_ARC_FSSQ","linenthings","460.0000"
"BL_ARC_FTNQ","purelinen","230.0000"
"BL_ARC_FTNQ","linenthings","460.0000"
"BL_ARC_PCAB48","purelinen","50.0000"
"BL_ARC_PCAB48","linenthings","160.0000"
"BL_ARC_PCAB65","purelinen","55.0000"
"BL_ARC_PCAB65","linenthings","160.0000"
"BL_ARC_PCAFN48","purelinen","50.0000"
"BL_ARC_PCAFN48","linenthings","160.0000"
"BL_ARC_PCAFN65","purelinen","55.0000"
"BL_ARC_PCAFN65","linenthings","160.0000"
"BL_ARC_PCAS48","purelinen","50.0000"
"BL_ARC_PCAS48","linenthings","160.0000"
"BL_ARC_PCAS65","purelinen","55.0000"
"BL_ARC_PCAS65","linenthings","160.0000"
"BL_A_DCKC240X210","purelinen","355.0000"
"BL_A_DCKC240X210","linenthings","800.0000"
"BL_A_DCKSB240X210","purelinen","355.0000"
"BL_A_DCKSB240X210","linenthings","800.0000"
"BL_A_DCKSG240X210","purelinen","355.0000"
"BL_A_DCKSG240X210","linenthings","800.0000"
"BL_A_DCKT240X210","purelinen","355.0000"
"BL_A_DCKT240X210","linenthings","800.0000"
"BL_A_DCQC210X210","purelinen","330.0000"
"BL_A_DCQC210X210","linenthings","700.0000"
"BL_A_DCQSB210X210","purelinen","330.0000"
"BL_A_DCQSB210X210","linenthings","700.0000"
"BL_A_DCQSG210X210","purelinen","330.0000"
"BL_A_DCQSG210X210","linenthings","700.0000"
"BL_A_DCQT210X210","purelinen","330.0000"
"BL_A_DCQT210X210","linenthings","700.0000"
"BL_A_FSCQ","linenthings","550.0000"
"BL_A_PCC48x2","linenthings","240.0000"
"BL_A_PCEC48X73","purelinen","50.0000"
"BL_A_PCEC48X73","linenthings","120.0000"
"BL_A_PCESB48X73","purelinen","50.0000"
"BL_A_PCESB48X73","linenthings","120.0000"
"BL_A_PCESC65X65","purelinen","50.0000"
"BL_A_PCESC65X65","linenthings","120.0000"
"BL_A_PCESG48X73","purelinen","50.0000"
"BL_A_PCESG48X73","linenthings","120.0000"
"BL_A_PCESSB65X65","purelinen","50.0000"
"BL_A_PCESSB65X65","linenthings","120.0000"
"BL_A_PCESSG65X65","purelinen","50.0000"
"BL_A_PCESSG65X65","linenthings","120.0000"
"BL_A_PCEST65X65","purelinen","50.0000"
"BL_A_PCEST65X65","linenthings","120.0000"
"BL_A_PCET48X73","purelinen","50.0000"
"BL_A_PCET48X73","linenthings","120.0000"
"BL_A_TSKSB270X280","purelinen","210.0000"
"BL_A_TSKSB270X280","linenthings","500.0000"
"BL_A_TSKSG270X280","purelinen","210.0000"
"BL_A_TSKSG270X280","linenthings","500.0000"
"BL_A_TSKT270X280","purelinen","199.0000"
"BL_A_TSKT270X280","linenthings","500.0000"
"BL_A_TSQC250X270","purelinen","199.0000"
"BL_A_TSQC250X270","linenthings","400.0000"
"BL_A_TSQSB250X270","purelinen","199.0000"
"BL_A_TSQSB250X270","linenthings","400.0000"
"BL_A_TSQSG250X270","purelinen","199.0000"
"BL_A_TSQSG250X270","linenthings","400.0000"
"BL_A_TSQT250X270","purelinen","199.0000"
"BL_A_TSQT250X270","linenthings","400.0000"
"BL_BAL_DCB","purelinen","190.0000"
"BL_BAL_DCB","linenthings","190.0000"
"BL_BAL_PC63X42","purelinen","45.0000"
"BL_BAL_PC63X42","linenthings","99.9900"
"BL_BAL_PCB42x63","purelinen","45.0000"
"BL_BAL_PCB42x63","linenthings","99.9900"
"BL_BAL_PCB48x72","purelinen","50.0000"
"BL_BAL_PCB48x72","linenthings","109.9900"
"BL_BAL_PCB60","purelinen","50.0000"
"BL_BAL_PCB60","linenthings","109.9900"
"BL_BAL_PCB65","purelinen","50.0000"
"BL_BAL_PCB65","linenthings","109.9900"
"BL_BAL_TSB","purelinen","70.0000"
"BL_BAL_TSB","linenthings","70.0000"
"BL_BEDSKIRT","purelinen",NULL
"BL_BEDSKIRT","linenthings",NULL
"BL_BS491N","purelinen","290.0000"
"BL_BS491N","linenthings","700.0000"
"BL_BS491OW","purelinen","290.0000"
"BL_BS491OW","linenthings","700.0000"
"BL_BS4941SN","purelinen","290.0000"
"BL_BS4941SN","linenthings","700.0000"
"BL_CAS","purelinen",NULL
"BL_CAS","linenthings",NULL
"BL_CAS_BCD","purelinen","1290.0000"
"BL_CAS_BCD","linenthings","1290.0000"
"BL_CAS_BCK","purelinen","1490.0000"
"BL_CAS_BCK","linenthings","1490.0000"
"BL_CAS_BCKS","purelinen","1290.0000"
"BL_CAS_BCKS","linenthings","1290.0000"
"BL_CAS_BCQ","purelinen","1390.0000"
"BL_CAS_BCQ","linenthings","1390.0000"
"BL_CAS_BCS","purelinen","1190.0000"
"BL_CAS_BCS","linenthings","1190.0000"
"BL_CAS_PC","purelinen","190.0000"
"BL_CAS_PC","linenthings","190.0000"
"BL_D","purelinen",NULL
"BL_D","linenthings",NULL
"BL_DCDN","purelinen","670.0000"
"BL_DCDN","linenthings","1340.0000"
"BL_DCDOG","purelinen","670.0000"
"BL_DCDOG","linenthings","1340.0000"
"BL_DCDR","purelinen","670.0000"
