Product Handle,Variant Title,Variant SKU,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Product Image 1 Url
bl-ning-ts,Ningaloo Top Sheet Stonewashed Blue 100% linen Size King 280x270 Printed and made in Australia,BL_NING_TSBK,1050,Colour,Blue,Size,King - 280cm x 270cm,,,
bl-ning-ts,Ningaloo Top Sheet Stonewashed Blue 100% linen Size Queen 250x270 Printed and made in Australia,BL_NING_TSBQ,1050,Colour,Blue,Size,Queen - 250cm x 270cm,,,
bl-ning-ts,Ningaloo Top Sheet Stonewashed Pink 100% linen Size King 280x270 Printed and made in Australia,BL_NING_TSPK,1050,Colour,Pink,Size,King - 280cm x 270cm,,,
bl-ning-ts,Ningaloo Top Sheet Stonewashed Pink 100% linen Size Queen 250x270 Printed and made in Australia,BL_NING_TSPQ,1050,Colour,Pink,Size,Queen - 250cm x 270cm,,,
bl-ning-ts,Ningaloo Top Sheet Stonewashed Grey 100% linen Size King 280x270 Printed and made in Australia,BL_NING_TSGK,1050,Colour,Grey,Size,King - 280cm x 270cm,,,
bl-ning-ts,Ningaloo Top Sheet Stonewashed Grey 100% linen Size Queen 250x270 Printed and made in Australia,BL_NING_TSGQ,1050,Colour,Grey,Size,Queen - 250cm x 270cm,,,
bl-pel-dc,Planet Earth Doona Cover  Colour Natural  Size Double 210x180cm ,BL_PEL_DCSNDL,600,Colour,Natural Flax,Size,Double - 210cm x 180cm,,,
bl-pel-dc,Planet Earth Doona Cover Colour Natural Flax Size King 240x210 ,BL_PEL_DCSNKL,900,Colour,Natural Flax,Size,King - 240cm x 210cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_002_doona_2.jpg
bl-pel-dc,Planet Earth Doona Cover  Colour Natural Size King Single Size 180 x 210,BL_PEL_DCSNKSL,600,Colour,Natural Flax,Size,King - 180cm x 210cm,,,
bl-pel-dc,Planet Earth Doona Cover Colour Natural Flax Size Queen 210x210cm ,BL_PEL_DCNQL,800,Colour,Natural Flax,Size,Queen - 210cm x 210cm,,,
bl-pel-dc,Planet Earth Doona Cover  Colour Optical White Size King 240x210 ,BL_PEL_DCSWKL,900,Colour,Optical White,Size,King - 240cm x 210cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_002_doone_white.jpg
bl-pel-dc,Planet Earth Doona Cover  Colour Optical  White Size Double 210x180cm,BL_PEL_DCWDL,600,Colour,Optical White,Size,Double - 210cm x 180cm,,,
bl-pel-dc,Planet Earth Doona Cover  Colour Optical  White Size King Single Size 210x180 ,BL_PEL_DCWKSL,600,Colour,Optical White,Size,King Single - 210cm x 180cm,,,
bl-pel-dc,Planet Earth Doona Cover Colour Optical White Size Queen 210x210cm ,BL_PEL_DCWQL,800,Colour,Optical White,Size,Queen - 210cm x 210cm,,,
bl-pel-dc,Planet Earth Doona Cover  Colour Optical  White Size  Single Size 140 x 210,BL_PEL_DCWSL,500,Colour,Optical White,Size,Single - 140cm x 210cm,,,
bl-pel-dc,Planet Earth Doona Cover  Colour Natural  Size  Single Size 140 x 210 ,BL_PEL_DCWSNSL,500,Colour,Natural Flax,Size,Single - 140cm x 210cm,,,
bl-pel-fs,Fitted Sheet Colour Optical White Size King Single 107x203x50,BL_PEL_FSWKS,250,Colour,Optical White,Size,King Sinlge - 107cm x 203cm + 50cm,,,
bl-pel-fs,Fitted Sheet Colour Optical White Size Single 91x193x50,BL_PEL_FSWS,240,Colour,Optical White,Size,Single - 91cm x 193cm + 50cm,,,
bl-pel-fs,Fitted Sheet Colour Natural Size Double 137x193x50 ,BL_PEL_FSND,260,Colour,Natural Flax,Size,Double - 137cm x 193cm + 50cm,,,
bl-pel-pc,Planet Earth Pillow Case Oxford Style Natural 65x65 ,BL_PEL_PCN65L,130,Colour,Natural Flax,Size,65cm x 65cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_002_doona_5.jpg
bl-pel-pc,Planet Earth Pillow Case Oxford Style Optical White 48x73 ,BL_PEL_PCW48L,90,Colour,Optical White,Size,48cm x 73cm,,,
bl-pel-pc,Planet Earth Pillow Case Oxford Style Optical White 65x65,BL_PEL_PCW65L,130,Colour,Optical White,Size,65cm x 65cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_002_pillow_white.jpg
bl-pel-pce,Planet Earth Pillow Case Envelope Style Optical White 48x73 ,BL_PEL_PCWE48L,90,Colour,Optical White,Size,48cm x 73cm,,,
bl-pel-pce,Planet Earth Pillow Case Envelope Style Natural 48x73 ,BL_PEL_PCNE48L,90,Colour,Natural Flax,Size,48cm x 73cm,,,
bl-pel-pce,Planet Earth Pillow Case Envelope Style Natural 65x65 ,BL_PEL_PCNE65L,130,Colour,Natural Flax,Size,65cm x 65cm,,,
bl-pel-pce,Planet Earth Pillow Case Envelope Style Optical White 65x65 ,BL_PEL_PCOWE65L,130,Colour,Optical White,Size,65cm x 65cm,,,
bl-pel-pce,Planet Earth Pillow Case Envelope Style Natural Super King Size 50x90 ,BL_PEL_PCSKN,120,Colour,Natural Flax,Size,50cm x 90cm,,,
bl-pel-pce,Planet Earth Pillow Case Envelope Style Optical White Super King Size 50x90 ,BL_PEL_PCSKW,120,Colour,Optical White,Size,50cm x 90cm,,,
bl-pel-ts,Planet Earth Top Sheet  Colour Natural Size King Single Size 200 x 270 ,BL_PEL_TSSMKSL,400,Colour,Natural Flax,Size,King Single - 200cm x 270cm,,,
bl-pel-ts,Planet Earth Top Sheet  Colour Natural  Size  Double Size 230 x 255 ,BL_PEL_TSSNDL,500,Colour,Natural Flax,Size,Double - 230cm x 255cm,,,
bl-pel-ts,Planet Earth Top Sheet  Colour Natural Flax Size King 270x280cm ,BL_PEL_TSNKL,600,Colour,Natural Flax,Size,King - 280cm x 270cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_002_doona_3.jpg
bl-pel-ts,Planet Earth Top Sheet  Colour Natural Flax Size Queen 250x270cm ,BL_PEL_TSNQL,500,Colour,Natural Flax,Size,Queen - 250cm x 270cm,,,
bl-pel-ts,Planet Earth Top Sheet  Colour Natural Size Single Size 180 x 254 ,BL_PEL_TSSNSL,350,Colour,Natural Flax,Size,Single - 180cm x 254cm,,,
bl-pel-ts,Planet Earth Top Sheet  Colour Optical White Size  Double Size 230 x 255 ,BL_PEL_TSWDL,500,Colour,Optical White,Size,Double - 230cm x 255cm,,,
bl-pel-ts,Planet Earth Top Sheet  Colour Optical White Size King 270x280 ,BL_PEL_TSWKL,600,Colour,Optical White,Size,King - 280cm x 270cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_002_top_white.jpg
bl-pel-ts,Planet Earth Top Sheet  Colour Optical White Size King Single Size 200 x 270,BL_PEL_TSWKSL,400,Colour,Optical White,Size,King Single - 200cm x 270cm,,,
bl-pel-ts,Planet Earth Top Sheet  Colour Optical White Size Queen 250x270 ,BL_PEL_TSWQL,500,Colour,Optical White,Size,Queen - 250cm x 270cm,,,
