Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Product Image 1 Url,Product Image 2 Url
,bl-d-dc,Diamantina Doona Cover ,,Diamantina Doona Cover Handmade Hem Stitched Composition 100% linen Colour Optical White Size King 240x210cm ,published,,,,,,,,,,,,,TRUE,,,Diamantina Doona Cover With Large French Hem Stitched Detail  Colour Optical White Size King 240x210cm ,BL_D_DCK,,FALSE,TRUE,,,,,,,,,,1200,Colour,Optical White,Size,King 240x210cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_001_8_1.jpg,
,bl-d-dc,Diamantina Doona Cover ,,Diamantina Doona Cover Handmade Hem Stitched  Colour Optical White Size Queen 210x210cm,published,,,,,,,,,,,,,TRUE,,,Diamantina Doona Cover With Large French Hem Stitched Detail Colour Optical White Size Queen 210x210cm,BL_D_DCQ,,FALSE,TRUE,,,,,,,,,,1100,Colour,Optical White,Size,Queen 210x210cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_001_8_1_1.jpg,
,bl-d-pc,Diamantina Pillow Case,,Diamantina Pillow Case Handmade Hem Stitched Composition 100% linen Colour Optical White 73x48,published,,,,,,,,,,,,,TRUE,,,Diamantina Pillow Case Handmade Hem Stitched  Colour Optical White 73x48,BL_D_PC48,,FALSE,TRUE,,,,,,,,,,150,Size,73cm x 48cm,,,,,https://purelinen.com.au/media/catalog/product/b/l/bl_001_6_1.jpg,
,bl-d-pc,Diamantina Pillow Case,,Diamantina Pillow Case Handmade Hem Stitched Composition 100% linen Colour Optical White 65x65 ,published,,,,,,,,,,,,,TRUE,,,Diamantina Pillow Case With Large French Hem Stitched Detail Colour Optical White 65x65 ,BL_D_PC65,,FALSE,TRUE,,,,,,,,,,150,Size,65cm x 65cm,,,,,,
,bl-d-pc,Diamantina Pillow Case,,Diamantina Pillow Case With Large French Hem Stitched Detail Colour Optical White 50x90,published,,,,,,,,,,,,,TRUE,,,Diamantina Pillow Case With Large French Hem Stitched Detail Colour Optical White 50x90,BL_D_PC50x90,,FALSE,TRUE,,,,,,,,,,160,Size,50cm x 90cm,,,,,,
,bl-d-ts,Diamantina Top Sheet,,Diamantina Top Sheet Composition 100% linen Colour Optical White King Size 280 x 270 ,published,,,,,,,,,,,,,TRUE,,,Diamantina Top Sheet  Colour Optical White King Size 280 x 270 ,BL_D_TSK,,FALSE,TRUE,,,,,,,,,,800,Colour,Optical White King,Size,280cm x 270cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_001_7_1.jpg,
,bl-d-ts,Diamantina Top Sheet,,Diamantina Top Sheet Composition 100% linen Colour Optical White Queen Size 250 x 270 ,published,,,,,,,,,,,,,TRUE,,,Diamantina Top Sheet  Colour Optical White Queen Size 250 x 270 ,BL_D_TSQ,,FALSE,TRUE,,,,,,,,,,700,Colour,Optical White Queen,Size,250cm x 270cm,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet  Colour Natural  Size King 180x203+50 ,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour Natural  Size King 180x203+50 ,BL_FTD_NKL,,FALSE,TRUE,,,,,,,,,,650,Colour,Natural Flax,Size,King - 180cm x 203cm + 50cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_002_doona_4.jpg,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour Natural Size King Single 107x203x50,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour Natural Size King Single 107x203x50 ,BL_FTD_NKSL,,FALSE,TRUE,,,,,,,,,,400,Colour,Natural Flax,Size,King Sinlge - 107cm x 203cm + 50cm,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour  Natural Size Queen 152x203+50 ,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour Natural Size Queen 152x203+50 ,BL_FTD_NQL,,FALSE,TRUE,,,,,,,,,,550,Colour,Natural Flax,Size,Queen - 152cm x 203cm + 50cm,,,,
