Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,,,Product Image 1 Url,Product Image 2 Url
,bl-arc-fs,Arctic Fitted Sheet ,,Arctic Fitted Sheet Colour French Navy Size Queen 152x203+30 Made in Australia,published,,,,,,,,,,,,,TRUE,,,Arctic Fitted Sheet Colour French Navy Size Queen 152x203+30 Made in Australia,Colour,French Navy,Size,Queen - 152cm x 203cm + 30cm,,BL_ARC_FTNQ,,FALSE,TRUE,,,,,,,,,,460,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case <br />Composition 100% linen Colour Arctic Blue <br />Size 65x65  <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour Arctic Blue Size 65x65 Made in Europe,Colour,Arctic Blue,Size,65cm x 65cm,,BL_ARC_PCAB65,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case <br />Composition 100% linen Colour Artic Blue <br />Size 48x73 <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour Arctic Blue Size 48x73 Made in Europe,Colour,Arctic Blue,Size,48cm x 73cm,,BL_ARC_PCAB48,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case <br />Composition 100% linen Colour French Navy <br />Size 48x73 <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour French Navy Size 48x73 Made in Europe,Colour,French Navy,Size,48cm x 73cm,,BL_ARC_PCAFN48,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case <br />Composition 100% linen Colour French Navy <br />Size 65x65 <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour French Navy Size 65x65 Made in Europe,Colour,French Navy,Size,65cm x 65cm,,BL_ARC_PCAFN65,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case Composition 100% linen Colour Serena Size 48x73 ,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour Serena Size 48x73 Made in Europe,Colour,Serena,Size,48cm x 73cm,,BL_ARC_PCAS48,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arc-p,Arctic Pillow Case,,Arctic Pillow Case Composition 100% linen Colour Serena Size 65x65 ,published,,,,,,,,,,,,,TRUE,,,Arctic Pillow Case  Colour Serena Size 65x65 Made in Europe,Colour,Serena,Size,65cm x 65cm,,BL_ARC_PCAS65,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arc-ts,Arctic Top Sheet ,,Arctic Top Sheet <br />Composition 100% linen Colour  French Navy <br />Size King <br />Size 280 x 270 <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Top Sheet  Colour French Navy Size King Size 276 x 270 Made in Europe,Colour,French Navy,Size,King - 276cm x 276cm,,BL_ARC_FSFNK,,FALSE,TRUE,,,,,,,,,,420,,,,
,bl-arc-ts,Arctic Top Sheet ,,Arctic Top Sheet <br />Composition 100% linen Colour French Navy <br />Size Queen <br />Size 250 x 270  <br />,published,,,,,,,,,,,,,TRUE,,,Arctic Top Sheet  Colour French Navy Size Queen Size 220 x 270 Made in Europe,Colour,French Navy,Size,Queen - 270cm x 270cm,,BL_ARC_FSFNQ,,FALSE,TRUE,,,,,,,,,,400,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Arctic Spring Pillow Case Composition 100% linen Colour Duck Egg Size 65x65 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Duck Egg Size 65x65 Made in Europe,Colour,Duck Egg Blue,Size,65cm x 65cm,,BL_ARCS_PCDE65,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Arctic Spring Pillow Case Composition 100% linen Colour Tiffany Blue Size 65x65 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Tiffany Blue Size 65x65 Made in Europe,Colour,Tiffany,Size,65cm x 65cm,,BL_ARCS_PCTF65,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Arctic Spring Pillow Case Composition 100% linen Colour Tiffany Blue Size 48x73 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Tiffany Blue Size 48x73  Made in Europe,Colour,Tiffany,Size,48cm x 73cm,,BL_ARCS_PCTB48,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Arctic Spring Pillow Case Composition 100% linen Colour Lime Green Size 65x65 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Lime Green Size 65x65 Made in Europe,Colour,Lime Green,Size,65cm x 65cm,,BL_ARCS_PCLG65,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-arcs-p,Arctic Spring Pillow Case,,Acrtic Spring Pillow Case Composition 100% linen Colour Lime Green Size 48x73 ,published,,,,,,,,,,,,,TRUE,,,Arctic Spring Pillow Case  Colour Lime Green Size 48x73  Made in Europe,Colour,Lime Green,Size,48cm x 73cm,,BL_ARCS_PCLG48,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-cas,Casablanca Bed Cover,,Casablanca Bed Cover - King SIze,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover King Size 280x270 Made in Australia,Size,King  - 280cm x 270cm,,,,BL_CAS_BCK,,FALSE,TRUE,,,,,,,,,,960,,,,
,bl-cas,Casablanca Bed Cover,,Casablanca Bed Cover - Queen SIze ,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover Queen Size 250x270 Made in Australia,Size,Queen - 250cm x 270cm,,,,BL_CAS_BCQ,,FALSE,TRUE,,,,,,,,,,960,,,,
,bl-cas,Casablanca Bed Cover,,Casablanca Bed Cover - Double SIze ,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover  Double Size 240x255 Made in Australia,Size,Double - 240cm x 255cm,,,,BL_CAS_BCD,,FALSE,TRUE,,,,,,,,,,860,,,,
,bl-cas,Casablanca Bed Cover,,Casablanca Bed Cover Size King Single 200x270  Made in Australia,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover Size King Single 200x270  Made in Australia,Size,King Single - 200cm x 270cm,,,,BL_CAS_BCKS,,FALSE,TRUE,,,,,,,,,,640,,,,
,bl-cas,Casablanca Bed Cover,,Casablanca Bed Cover Single 180x260 Made in Australia,published,,,,,,,,,,,,,TRUE,,,Casablanca Bed Cover Single 180x260 Made in Australia,Size,Single- 180cm x 260cm,,,,BL_CAS_BCS,,FALSE,TRUE,,,,,,,,,,620,,,,
,bl-cas,Casablanca Bed Cover,,Casablanca Pillow Case with fringe 48x73 Made in Australia,published,,,,,,,,,,,,,TRUE,,,Casablanca Pillow Case with fringe 48x73 Made in Australia,Size,48cm x 73cm,,,,BL_CAS_PC,,FALSE,TRUE,,,,,,,,,,140,,,,
,bl-d-dc,Diamantina Doona Cover ,,Diamantina Doona Cover Handmade Hem Stitched Composition 100% linen Colour Optical White Size King 240x210cm ,published,,,,,,,,,,,,,TRUE,,,Diamantina Doona Cover With Large French Hem Stitched Detail  Colour Optical White Size King 240x210cm ,Size,King - 240cm x 210cm,,,,BL_D_DCK,,FALSE,TRUE,,,,,,,,,,1200,,,,
,bl-d-dc,Diamantina Doona Cover ,,Diamantina Doona Cover Handmade Hem Stitched  Colour Optical White Size Queen 210x210cm,published,,,,,,,,,,,,,TRUE,,,Diamantina Doona Cover With Large French Hem Stitched Detail Colour Optical White Size Queen 210x210cm,Size,Queen - 250cm x 210cm,,,,BL_D_DCQ,,FALSE,TRUE,,,,,,,,,,1100,,,,
,bl-d-p,Diamantina Pillow Case,,Diamantina Pillow Case Handmade Hem Stitched Composition 100% linen Colour Optical White 73x48,published,,,,,,,,,,,,,TRUE,,,Diamantina Pillow Case Handmade Hem Stitched  Colour Optical White 73x48,Size,48cm x 73cm,,,,BL_D_PC48,,FALSE,TRUE,,,,,,,,,,150,,,,
,bl-d-p,Diamantina Pillow Case,,Diamantina Pillow Case Handmade Hem Stitched Composition 100% linen Colour Optical White 65x65 ,published,,,,,,,,,,,,,TRUE,,,Diamantina Pillow Case With Large French Hem Stitched Detail Colour Optical White 65x65 ,Size,65cm x 65cm,,,,BL_D_PC65,,FALSE,TRUE,,,,,,,,,,150,,,,
